iteration	time	leafsWith	leafsWithout
1	1.457219787135415	1	1
1	3.033558305103071	1	1
1	1.6030932226057644	1	3
1	4.138638521439049	5	44
1	1.6882314151926607	1	30
1	1.5865169352474595	1	5
1	3.232970713165713	53	4
1	0.5057799921547144	1	1
1	0.557470636861666	1	4
1	3.009500026371427	1	1
1	0.680338574449479	8	27
1	2.978374417195255	16	1
1	0.5009830073793751	2	1
1	2.757420385044668	5	4
1	3.1826458612044632	1	1
1	3.150558304934293	9	24
1	1.5952235212918708	2	2
1	3.096843892215844	1	4
1	1.658155168508074	35	1
1	3.148333976149644	1	1
1	2.8765021033217977	4	1
1	2.636226953447249	1	2
1	3.174803193343962	25	2
1	2.4545327144251416	1	1
1	0.4657174320533386	1	1
1	2.6615930044573872	61	2
1	3.2020742290771693	30	6
1	2.595931231839586	1	1
1	3.0932614805004164	4	4
1	3.2074956533604393	148	2
1	1.6026909231813136	6	1
1	2.425633176585876	4	1
2	3.1236788537256928	4	7
2	1.608494693072032	2	1
2	2.6052987500800384	1	3
2	3.1569578573269155	25	2
2	2.6108493449628156	61	2
2	3.148827338083663	9	3
2	2.709927557263029	5	4
2	1.5712819485087266	35	1
2	3.284678718119949	53	2
2	2.954623965709885	1	1
2	3.2431532358796744	1	1
2	1.7423679360307176	1	30
2	2.617598308430644	1	2
2	2.4034669934282533	1	1
2	2.9158705236116305	4	1
2	1.5715841495313896	1	4
2	0.46613765523315465	1	1
2	1.6135967056016511	1	3
2	0.43941475147050824	1	3
2	0.5386387901968419	1	7
2	3.2094108725698334	148	7
2	2.5661275086835076	4	1
2	3.233222702098203	30	23
2	2.890991919514846	16	1
2	3.0090930282016473	1	1
2	1.5032134596084177	1	1
2	0.5067246917928685	2	1
2	3.2307587724761504	25	155
2	1.5100093780917518	1	1
2	3.2441888098218215	1	2
2	1.7529474584463003	6	1
3	3.1296186106579285	25	2
3	3.21043119344327	148	2
3	4.186657624109699	5	44
3	2.7141666379856986	5	4
3	0.48475422603758034	1	1
3	3.0922052334751413	4	4
3	3.213477059341841	30	23
3	1.4756203685639946	35	1
3	2.648759906191202	1	3
3	0.6312340790780979	8	27
3	1.7976793760900875	6	1
3	3.024779373674704	1	1
3	1.522075031766036	1	3
3	1.5544760631481438	1	1
3	1.5169907626630845	1	3
3	3.276164978914693	1	208
3	2.608912820590291	4	1
3	1.71916305714214	1	30
3	1.5951325235884894	2	2
3	0.5288560180032107	1	7
3	0.43420954292483316	1	3
3	2.62148013542685	61	2
3	2.844203196160379	4	1
3	3.2160244166861958	25	150
3	2.412482261467062	1	1
3	2.8719943871244595	16	1
3	3.317963126349099	53	4
3	3.139273575093398	9	3
3	2.632214047296401	1	2
3	2.9698037716069905	1	2
3	0.4959481818594611	2	3
4	3.1666354060822925	9	27
4	3.241526344386159	2	7
4	2.608265738039279	1	2
4	2.5562720458837873	61	1
4	3.022650708464255	1	1
4	2.854316061781134	4	1
4	0.63688009867343	8	15
4	1.571652899608921	1	3
4	3.195625655769277	25	6
4	2.3465396597520964	4	1
4	3.2220439419903926	148	31
4	2.6256321547133155	1	2
4	0.5024082357578834	1	5
4	0.5066249400503864	1	1
4	2.4442386799489384	1	1
4	1.6855895390573608	1	30
4	0.5413615907201859	1	7
4	0.4712175413261548	1	1
4	3.1450469531005183	25	2
4	3.2333423785175057	1	6
4	4.0890469245502175	5	44
4	3.236564190827835	1	179
4	3.0629208221078557	4	2
4	3.2028745638603198	30	23
4	1.5043150203194102	1	2
4	2.7323101210277514	5	4
4	1.5122725188847426	35	1
4	2.9455405612733045	16	1
4	3.2419691859565773	1	180
4	0.5834407203108185	2	2
4	1.71828017096459	6	1
4	1.5889864403654883	2	1
4	1.508185422917677	1	1
4	2.949666714126181	1	2
5	0.5526367861764072	1	1
5	3.0725213389696364	4	4
5	2.6395364494952105	1	3
5	1.5937252722479514	2	2
5	0.42257402556134593	1	1
5	3.1527332865993003	25	2
5	3.0255325187224003	1	1
5	3.152902774931306	9	24
5	2.7195451587163006	5	4
5	3.2595807352861925	148	32
5	3.031392403448166	1	2
5	1.9134910685964428	6	1
5	1.6766373535382684	35	1
5	1.7234116027653101	1	30
5	2.5516836648900494	4	1
5	2.9952394578653525	16	1
5	1.5313035674503226	1	1
5	1.577682750397031	1	1
5	2.8413909000332467	4	1
5	2.4672686380165203	1	1
5	3.0560089296759543	1	3
5	0.6170475801219482	8	14
5	4.489930817803099	5	44
5	2.5915671150029596	1	2
5	3.241304673596119	30	17
5	3.3170163117035543	53	2
5	3.172926157915242	25	3
5	3.2166018926376694	1	27
5	0.4708400166196043	1	1
5	1.5022159591209174	1	1
5	1.5445020026138252	1	2
6	3.2590713229905646	30	17
6	0.5429941704940973	1	2
6	2.575866949276474	4	1
6	2.767180371998137	5	4
6	1.6361212579526239	6	1
6	0.3910208789850458	1	1
6	3.0079674447565026	1	1
6	3.277986031750146	1	207
6	3.1394629864855688	9	1
6	3.0977234848220405	4	1
6	4.330156509175367	5	44
6	0.6365399517191861	8	27
6	3.300256221140927	53	4
6	2.5915302509632454	61	2
6	2.935029730659579	16	1
6	2.8644655574050546	4	1
6	1.6391507174836875	1	3
6	1.556219944944246	35	1
6	3.0516480223128326	1	1
6	0.5406105331699678	1	3
6	0.5681783872030053	1	3
6	1.492718887575876	1	1
6	3.149238990325074	25	2
6	2.6393700312052886	1	1
6	2.602606304453758	1	2
6	1.499875122336391	1	1
6	1.5831156182686925	2	1
6	2.3866665321204152	1	1
7	0.667144412711707	8	27
7	2.688130682128076	1	2
7	3.2811950202564333	30	23
7	2.9300774471073794	4	1
7	0.419038770470479	1	1
7	2.8971898006880394	16	1
7	1.5013129793538837	1	2
7	0.5336615809626437	1	5
7	3.177457194206852	25	2
7	3.2943956212101284	1	2
7	3.2157812237817893	25	1
7	2.422963328572223	1	1
7	3.322280289321867	53	1
7	1.6352202964630749	1	3
7	1.5742097657421255	1	1
7	1.7877620587603076	6	1
7	3.0448356413307067	1	1
7	0.5272242430530696	1	2
7	3.2748890206994474	1	27
7	0.4867051193612326	1	1
7	3.2700930618371444	148	32
7	1.5997380035991853	2	2
7	3.1497098119863267	1	18
7	3.1197519928966244	4	5
7	3.172540257975072	9	24
7	3.039118855201707	1	1
7	2.7462987908054686	1	2
7	1.6738120026519994	35	1
7	2.814312461285283	5	4
7	2.643563326589856	61	2
7	4.451588581565289	5	44
7	2.672130691793285	4	1
8	2.563839700166369	4	1
8	3.2071778017671306	9	24
8	0.5173641048545221	1	3
8	1.6233808189443835	2	2
8	5.085563933551185	5	345
8	0.5053124566140923	1	1
8	2.79355178045671	1	2
8	3.097934265505927	4	2
8	1.8783229092558997	6	1
8	3.2686638036116733	30	23
8	0.6307452429495299	4	11
8	1.511706023524738	1	1
8	0.6380002798991029	8	27
8	3.358328374023756	53	223
8	3.210803643748193	25	7
8	3.156124288299452	1	10
8	1.714000112188529	35	1
8	0.5943500334277303	1	1
8	1.6293318917932424	1	3
8	2.826458809207878	5	4
8	3.2728525337944916	1	27
8	2.947680724707368	16	1
8	1.160557566992651	1	2
8	2.6695610813417545	1	2
8	3.2541020259153584	148	32
8	2.644980331114084	61	2
8	2.4594266355651087	1	1
8	2.909721323469938	4	1
8	3.035155343207464	1	1
8	1.5734138524409786	1	3
8	3.145372215378586	25	2
9	3.3395571791414227	1	53
9	3.3607349130714113	54	222
9	2.6328829051543607	61	2
9	3.2125365917688953	9	139
9	2.4250473085414797	1	1
9	3.2134574924868673	25	1
